"","Date Rptd","DATE OCC","AREA NAME","Crm Cd Desc","Vict Age","Vict Sex","Vict Descent","Vict Birth Year"
"570","2020-01-19","2020-01-19","Central","BURGLARY FROM VEHICLE","34","F","B","1989"
"571","2020-01-19","2020-01-19","Central","THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","29","M","H","1994"
"572","2020-01-19","2020-01-19","Central","BURGLARY","30","F","O","1993"
"573","2020-01-19","2020-01-19","Central","THEFT PLAIN - PETTY ($950 & UNDER)","38","M","H","1985"
"574","2020-06-25","2020-06-25","Central","BURGLARY FROM VEHICLE","21","M","W","2002"
"575","2020-01-19","2020-01-19","Central","THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","60","M","B","1963"
"576","2020-01-19","2020-01-19","Central","ROBBERY","58","M","B","1965"
"577","2020-01-19","2020-01-19","Central","THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","36","M","W","1987"
"578","2020-01-20","2020-01-20","Central","THEFT PLAIN - PETTY ($950 & UNDER)","34","M","W","1989"
"579","2020-01-20","2020-01-20","Central","BURGLARY FROM VEHICLE","48","F","H","1975"
"580","2020-11-07","2020-11-07","Central","BURGLARY FROM VEHICLE","27","F","B","1996"
"581","2020-09-14","2020-09-14","West Valley","BATTERY - SIMPLE ASSAULT","34","F","H","1989"
"582","2020-01-20","2020-01-20","Central","BATTERY WITH SEXUAL CONTACT","24","F","A","1999"
"583","2020-01-20","2020-01-20","Central","BATTERY WITH SEXUAL CONTACT","51","F","W","1972"
"584","2020-01-20","2020-01-20","Central","BATTERY WITH SEXUAL CONTACT","27","F","W","1996"
"585","2020-01-20","2020-01-20","Central","BATTERY WITH SEXUAL CONTACT","34","F","W","1989"
"586","2020-01-20","2020-01-20","Central","THEFT, PERSON","29","F","B","1994"
"587","2020-01-20","2020-01-20","Central","BRANDISH WEAPON","52","M","W","1971"
"588","2020-01-20","2020-01-20","Central","BIKE - STOLEN","52","M","W","1971"
"589","2022-02-03","2022-02-03","Central","ROBBERY","37","M","H","1986"
"590","2020-08-30","2020-08-30","Central","BATTERY - SIMPLE ASSAULT","43","F","H","1980"
"591","2021-12-16","2021-12-16","Central","KIDNAPPING","31","M","H","1992"
"592","2020-01-20","2020-01-20","Central","THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","52","M","B","1971"
"593","2020-09-20","2020-09-20","Central","ROBBERY","55","M","A","1968"
"594","2020-01-20","2020-01-20","Central","BURGLARY FROM VEHICLE","50","M","H","1973"
"595","2021-08-02","2021-08-02","Central","THEFT PLAIN - PETTY ($950 & UNDER)","61","M","H","1962"
"596","2020-10-28","2020-10-28","Central","BATTERY - SIMPLE ASSAULT","26","M","O","1997"
"597","2020-01-20","2020-01-20","Central","BATTERY - SIMPLE ASSAULT","60","M","W","1963"
"598","2020-01-20","2020-01-20","Central","THEFT PLAIN - PETTY ($950 & UNDER)","62","F","H","1961"
"599","2020-07-02","2020-07-02","Central","THEFT PLAIN - PETTY ($950 & UNDER)","24","F","W","1999"
"600","2020-01-20","2020-01-20","Central","SHOPLIFTING-GRAND THEFT ($950.01 & OVER)","34","M","O","1989"
"601","2020-01-20","2020-01-20","Central","THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","56","M","H","1967"
"602","2020-01-01","2020-01-01","Central","INTIMATE PARTNER - SIMPLE ASSAULT","34","M","B","1989"
"603","2020-01-21","2020-01-21","Central","VIOLATION OF COURT ORDER","48","F","B","1975"
"604","2020-01-21","2020-01-21","Central","BURGLARY FROM VEHICLE","29","F","B","1994"
"605","2020-01-20","2020-01-20","Central","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","27","M","W","1996"
"606","2020-01-20","2020-01-20","Devonshire","LETTERS, LEWD  -  TELEPHONE CALLS, LEWD","33","F","W","1990"
"607","2020-01-21","2020-01-21","Southwest","LEWD/LASCIVIOUS ACTS WITH CHILD","15","F","H","2008"
"608","2020-01-20","2020-01-20","Van Nuys","LETTERS, LEWD  -  TELEPHONE CALLS, LEWD","34","F","W","1989"
"609","2020-01-21","2020-01-21","77th Street","ATTEMPTED ROBBERY","61","F","H","1962"
"610","2020-01-21","2020-01-21","Central","BATTERY - SIMPLE ASSAULT","31","M","H","1992"
"611","2020-01-18","2020-01-18","Central","BATTERY - SIMPLE ASSAULT","35","M","B","1988"
"612","2020-01-21","2020-01-21","Central","BATTERY - SIMPLE ASSAULT","31","F","H","1992"
"613","2020-01-21","2020-01-21","Central","BURGLARY FROM VEHICLE","28","F","W","1995"
"614","2020-01-13","2020-01-13","Central","BATTERY POLICE (SIMPLE)","48","M","H","1975"
"615","2020-01-20","2020-01-20","Central","BURGLARY FROM VEHICLE","25","M","H","1998"
"616","2020-01-19","2020-01-19","Central","THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","54","M","H","1969"
"617","2020-01-21","2020-01-21","Central","THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","37","F","H","1986"
"618","2020-03-18","2020-03-18","Central","THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD","21","M","H","2002"
"619","2022-01-19","2022-01-19","Central","CRIMINAL THREATS - NO WEAPON DISPLAYED","28","F","B","1995"
"620","2020-01-21","2020-01-21","Central","ROBBERY","46","F","O","1977"
"621","2020-01-21","2020-01-21","Central","ROBBERY","23","F","W","2000"
"622","2020-01-21","2020-01-21","Central","ARSON","54","F","W","1969"
"623","2020-01-21","2020-01-21","Central","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","52","M","W","1971"
"624","2020-01-21","2020-01-21","Central","LEWD CONDUCT","34","F","B","1989"
"625","2020-01-21","2020-01-21","Central","SHOPLIFTING - PETTY THEFT ($950 & UNDER)","35","M","B","1988"
"626","2020-01-21","2020-01-21","Central","BURGLARY FROM VEHICLE","37","M","A","1986"
"627","2020-01-21","2020-01-21","Van Nuys","THEFT PLAIN - PETTY ($950 & UNDER)","35","F","W","1988"
"628","2020-01-21","2020-01-21","Rampart","CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)","9","F","H","2014"
"629","2020-01-21","2020-01-21","Central","BIKE - STOLEN","64","M","W","1959"
"630","2020-01-21","2020-01-21","Central","BURGLARY FROM VEHICLE","43","F","F","1980"
"631","2020-01-22","2020-01-22","Central","BATTERY - SIMPLE ASSAULT","29","M","H","1994"
"632","2020-01-22","2020-01-22","Harbor","CRIMINAL THREATS - NO WEAPON DISPLAYED","40","M","H","1983"
"633","2020-01-21","2020-01-21","Central","THEFT PLAIN - PETTY ($950 & UNDER)","44","F","H","1979"
"634","2020-01-21","2020-01-21","Central","THEFT PLAIN - PETTY ($950 & UNDER)","38","F","H","1985"
"635","2020-05-04","2020-05-04","Central","BATTERY WITH SEXUAL CONTACT","32","F","B","1991"
"636","2020-01-21","2020-01-21","Harbor","INTIMATE PARTNER - AGGRAVATED ASSAULT","53","F","W","1970"
"637","2020-01-21","2020-01-21","Central","OTHER MISCELLANEOUS CRIME","40","M","H","1983"
"638","2020-01-21","2020-01-21","Central","BURGLARY FROM VEHICLE","23","F","H","2000"
"639","2020-01-21","2020-01-21","Central","BURGLARY","25","M","W","1998"
"640","2020-01-22","2020-01-22","Central","BATTERY - SIMPLE ASSAULT","58","F","H","1965"
"641","2020-03-19","2020-03-19","77th Street","THEFT PLAIN - PETTY ($950 & UNDER)","68","M","H","1955"
"642","2020-01-20","2020-01-20","Central","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","45","M","W","1978"
